## Muestra el numero de rayos que golpean cada bin
## Nx =40, Ny=40
## x[m], y[m], z[W/m2]
-0.220342, 0.48932, 28.3107
-0.220342, 0.537891, 20.0657
-0.220342, 0.586462, 13.2267
-0.220342, 0.635033, 8.52272
-0.220342, 0.683604, 4.91228
-0.220342, 0.732175, 2.69047
-0.220342, 0.780747, 1.40599
-0.220342, 0.829318, 0.676958
-0.220342, 0.877889, 0.190937
-0.220342, 0.92646, 0.0694315
-0.220342, 0.975031, 0.0520737
-0.170663, -0.919243, 0.0867894
-0.170663, -0.870672, 0.138863
-0.170663, -0.822101, 0.711673
-0.170663, -0.77353, 1.66636
-0.170663, -0.724959, 4.09646
-0.170663, -0.676387, 8.78309
-0.170663, -0.627816, 15.5006
-0.170663, -0.579245, 25.3772
-0.170663, -0.530674, 37.7708
-0.170663, -0.482103, 51.7091
-0.170663, -0.433532, 62.5231
-0.170663, -0.384961, 74.7778
-0.170663, -0.33639, 84.0816
-0.170663, -0.287818, 93.3507
-0.170663, -0.239247, 96.2321
-0.170663, -0.190676, 102.915
-0.170663, -0.142105, 103.696
-0.170663, -0.0935339, 104.269
-0.170663, -0.0449627, 107.063
-0.170663, 0.00360839, 106.421
-0.170663, 0.0521795, 103.644
-0.170663, 0.100751, 100.78
-0.170663, 0.149322, 96.7529
-0.170663, 0.197893, 88.7856
-0.170663, 0.246464, 84.3767
-0.170663, 0.295035, 77.5897
-0.170663, 0.343606, 65.9426
-0.170663, 0.392177, 55.0592
-0.170663, 0.440749, 44.6271
-0.170663, 0.48932, 34.4207
-0.170663, 0.537891, 23.9712
-0.170663, 0.586462, 16.4726
-0.170663, 0.635033, 10.2064
-0.170663, 0.683604, 6.07526
-0.170663, 0.732175, 3.22857
-0.170663, 0.780747, 1.47542
-0.170663, 0.829318, 0.642242
-0.170663, 0.877889, 0.173579
-0.170663, 0.92646, 0.138863
-0.170663, 0.975031, 0.0694315
-0.120984, -0.919243, 0.0173579
-0.120984, -0.870672, 0.0694315
-0.120984, -0.822101, 0.416589
-0.120984, -0.77353, 1.63164
-0.120984, -0.724959, 4.18325
-0.120984, -0.676387, 8.62687
-0.120984, -0.627816, 15.6047
-0.120984, -0.579245, 27.2866
-0.120984, -0.530674, 40.9125
-0.120984, -0.482103, 55.2502
-0.120984, -0.433532, 68.6504
-0.120984, -0.384961, 83.5609
-0.120984, -0.33639, 96.9611
-0.120984, -0.287818, 102.95
-0.120984, -0.239247, 107.532
-0.120984, -0.190676, 116.35
-0.120984, -0.142105, 116.315
-0.120984, -0.0935339, 118.363
-0.120984, -0.0449627, 118.659
-0.120984, 0.00360839, 114.371
-0.120984, 0.0521795, 112.045
-0.120984, 0.100751, 114.059
-0.120984, 0.149322, 106.248
-0.120984, 0.197893, 99.8599
-0.120984, 0.246464, 92.2572
-0.120984, 0.295035, 83.3873
-0.120984, 0.343606, 72.6948
-0.120984, 0.392177, 61.1865
-0.120984, 0.440749, 50.9628
-0.120984, 0.48932, 37.3715
-0.120984, 0.537891, 27.1824
-0.120984, 0.586462, 18.5382
-0.120984, 0.635033, 11.3347
-0.120984, 0.683604, 6.37034
-0.120984, 0.732175, 3.15914
-0.120984, 0.780747, 1.75315
-0.120984, 0.829318, 0.624884
-0.120984, 0.877889, 0.3298
-0.120984, 0.92646, 0.156221
-0.120984, 0.975031, 0.0347158
-0.0713057, -0.919243, 0
-0.0713057, -0.870672, 0.156221
-0.0713057, -0.822101, 0.381873
-0.0713057, -0.77353, 1.30184
-0.0713057, -0.724959, 3.71459
-0.0713057, -0.676387, 7.67219
-0.0713057, -0.627816, 15.2402
-0.0713057, -0.579245, 26.8353
-0.0713057, -0.530674, 42.2317
-0.0713057, -0.482103, 58.4093
-0.0713057, -0.433532, 76.6351
-0.0713057, -0.384961, 89.1675
-0.0713057, -0.33639, 102.724
-0.0713057, -0.287818, 111.576
-0.0713057, -0.239247, 120.134
-0.0713057, -0.190676, 123.189
-0.0713057, -0.142105, 124.404
-0.0713057, -0.0935339, 126.834
-0.0713057, -0.0449627, 128.396
-0.0713057, 0.00360839, 126.227
-0.0713057, 0.0521795, 120.741
-0.0713057, 0.100751, 118.676
-0.0713057, 0.149322, 109.146
-0.0713057, 0.197893, 102.759
-0.0713057, 0.246464, 97.2562
-0.0713057, 0.295035, 83.5956
-0.0713057, 0.343606, 75.2638
-0.0713057, 0.392177, 64.9011
-0.0713057, 0.440749, 52.0042
-0.0713057, 0.48932, 39.819
-0.0713057, 0.537891, 29.6126
-0.0713057, 0.586462, 19.5797
-0.0713057, 0.635033, 11.9596
-0.0713057, 0.683604, 5.84961
-0.0713057, 0.732175, 3.22857
-0.0713057, 0.780747, 1.26713
-0.0713057, 0.829318, 0.867894
-0.0713057, 0.877889, 0.364516
-0.0713057, 0.92646, 0.0867894
-0.0713057, 0.975031, 0.0694315
-0.021627, -0.919243, 0.0173579
-0.021627, -0.870672, 0.0867894
-0.021627, -0.822101, 0.347158
-0.021627, -0.77353, 0.972042
-0.021627, -0.724959, 3.36743
-0.021627, -0.676387, 7.68954
-0.021627, -0.627816, 14.7716
-0.021627, -0.579245, 23.9539
-0.021627, -0.530674, 38.413
-0.021627, -0.482103, 55.5973
-0.021627, -0.433532, 73.5801
-0.021627, -0.384961, 87.8656
-0.021627, -0.33639, 103.991
-0.021627, -0.287818, 113.243
-0.021627, -0.239247, 122.529
-0.021627, -0.190676, 125.845
-0.021627, -0.142105, 127.719
-0.021627, -0.0935339, 126.591
-0.021627, -0.0449627, 129.021
-0.021627, 0.00360839, 126.227
-0.021627, 0.0521795, 124.56
-0.021627, 0.100751, 118.797
-0.021627, 0.149322, 112.982
-0.021627, 0.197893, 103.974
-0.021627, 0.246464, 93.8194
-0.021627, 0.295035, 84.9148
-0.021627, 0.343606, 71.9658
